series,genre,date_published,rate,award,english_lan
0,Fantasy,2008.0,4.13,5,1
0,Fiction,2006.0,4.13,5,1
0,Fiction,2014.0,4.09,5,1
1,Fantasy,2008.0,4.13,2,1
0,Fiction,2007.0,3.89,5,1
1,Nonfiction,2006.0,3.99,3,1
0,Fiction,2002.0,3.8,6,1
0,Fantasy,2011.0,4.03,5,1
0,Nonfiction,2003.0,3.98,5,1
0,Fiction,2006.0,3.96,3,1
0,Nonfiction,2005.0,4.12,1,1
0,Fiction,2004.0,3.51,0,1
1,Young Adult,2011.0,3.9,4,1
0,Fiction,2005.0,3.92,5,1
1,Fantasy,2005.0,3.83,1,1
1,Fantasy,2005.0,4.35,5,1
1,Young Adult,2013.0,4.11,0,1
0,Sequential Art,2009.0,4.2,5,1
0,Fiction,2009.0,3.68,4,1
0,Nonfiction,2007.0,4.23,3,1
1,Fantasy,2007.0,4.13,5,1
1,Fiction,2007.0,3.63,3,1
1,Historical,2006.0,4.2,1,1
0,Fiction,2013.0,3.85,5,1
0,Fiction,2008.0,3.78,1,1
0,Fiction,2007.0,3.75,2,1
0,Nonfiction,2018.0,4.46,5,1
1,Fantasy,2015.0,4.53,1,1
1,Young Adult,2010.0,3.99,0,1
1,Fantasy,2004.0,4.3,0,1
0,Biography,2007.0,4.12,1,1
0,Short Stories,2005.0,3.98,4,1
0,Science Fiction,2012.0,3.92,0,0
1,Other,2010.0,4.36,5,1
1,Fantasy,2016.0,4.59,1,1
1,Young Adult,2009.0,3.66,2,1
0,Mystery,2010.0,3.84,5,1
1,Fantasy,2007.0,4.03,1,1
1,Young Adult,2012.0,4.05,0,1
1,Other,2015.0,3.89,0,1
1,Fiction,2003.0,3.79,0,1
1,Young Adult,2011.0,4.0,1,1
1,Mystery,2006.0,4.15,0,1
1,Fantasy,2004.0,4.44,0,0
1,Fantasy,2014.0,4.73,5,1
0,Nonfiction,2005.0,4.28,1,1
0,Fiction,2010.0,3.73,5,1
1,Horror,2012.0,4.01,1,1
